CustomerID,Name,Email,Phone,Purchase_Amount,Purchase_Date,Country,Status,Age
309,Eve Davis,customer309@example.com,555-0102,648.101184119564,2023-08-01,Canada,Inactive,26.0
96,Henry Wilson,customer96@example.com,(555) 0103,611.8154498563161,2023-03-01,UK,Pending,19.0
235,Charlie Brown,customer235@example.com,555-0102,773.2022632936278,2023-10-18,Usa,Inactive,29.0
12,Frank Miller,customer12@example.com,,637.4209780829755,2023-03-15,,pending,46.0
256,Bob Johnson,customer256@example.com,,843.114363706943,2023-11-26,Usa,pending,68.0
456,Henry Wilson,customer456@example.com,555-0101,137.16423091225943,2023-04-28,,Inactive,70.0
445,Frank Miller,customer445@example.com,555-01-04,560.6199176893595,2023-05-23,Canada,Active,38.0
23,Henry Wilson,customer23@example.com,,581.7114081970644,2023-07-13,united kingdom,inactive,55.0
421,Alice Williams,customer421@example.com,555.0105,665.490890005499,2023-09-03,UK,inactive,65.0
160,Frank Miller,customer160@example.com,555-0101,204.15196869651828,2023-08-27,Canada,Inactive,35.0
394,Henry Wilson,customer394@example.com,555-0101,895.9722268155615,2023-03-11,Canada,pending,30.0
110,Bob Johnson,customer110@example.com,555.0105,42.51820354100396,2023-01-08,Usa,inactive,33.0
303,John Smith,customer303@example.com,,427.5450331332074,2023-03-02,,inactive,77.0
172,John Smith,customer172@example.com,555.0105,963.0228253693259,2023-05-01,UK,pending,48.0
113,Charlie Brown,customer113@example.com,555-0102,581.8556345506317,2023-07-18,Usa,Active,58.0
415,Alice Williams,customer415@example.com,555.0105,991.5605817935976,2023-02-13,Canada,Inactive,42.0
201,Diana Prince,customer201@example.com,,985.5136391193173,2023-08-02,UK,inactive,66.0
242,Bob Johnson,customer242@example.com,555-0101,77.56720830055066,2023-05-08,UK,,63.0
106,Charlie Brown,customer106@example.com,(555) 0103,471.04312109562505,2023-11-15,Usa,Inactive,44.0
454,John Smith,customer454@example.com,555-0101,18.981680606197713,2023-03-19,,Active,71.0
403,Eve Davis,customer403@example.com,555-0102,335.7608517161723,2023-12-18,united kingdom,Inactive,77.0
31,Grace Lee,customer31@example.com,,339.48762805335946,2023-01-01,Usa,Inactive,25.0
146,John Smith,customer146@example.com,555-0102,111.95166453800236,2023-05-28,Canada,ACTIVE,51.0
94,Henry Wilson,customer94@example.com,555.0105,318.32982140518476,2023-06-25,Usa,pending,58.0
34,Bob Johnson,customer34@example.com,555-01-04,175.06345239344932,2023-04-01,,inactive,57.0
363,Diana Prince,customer363@example.com,(555) 0103,885.3569883501879,2023-02-21,Usa,,39.0
489,Alice Williams,customer489@example.com,555-0101,944.8605986082516,2023-05-14,Canada,Pending,54.0
488,Bob Johnson,customer488@example.com,555.0105,473.85402260089853,2023-08-08,Usa,Active,51.0
255,Alice Williams,customer255@example.com,,170.39373911266875,2023-06-09,Usa,Inactive,
240,Bob Johnson,customer240@example.com,555-0102,99.43359097183179,2023-09-01,,inactive,37.0
442,Jane Doe,customer442@example.com,,236.33890990967427,2023-10-14,united kingdom,Active,20.0
446,Jane Doe,customer446@example.com,(555) 0103,759.0694457470853,2023-07-02,,pending,45.0
455,Frank Miller,customer455@example.com,(555) 0103,820.4926262948434,2023-10-26,Usa,inactive,27.0
350,Jane Doe,customer350@example.com,555.0105,718.3977820818995,2023-02-25,,Active,40.0
484,Grace Lee,customer484@example.com,555-0101,820.5977869235228,2023-04-12,Canada,inactive,70.0
398,Diana Prince,customer398@example.com,555-0101,280.2297811077518,2023-12-30,Usa,Inactive,54.0
83,Frank Miller,customer83@example.com,555.0105,78.2323239735466,2023-04-20,,,47.0
175,Frank Miller,customer175@example.com,555-01-04,412.3283851907868,2023-02-23,Usa,,47.0
346,Frank Miller,customer346@example.com,,13.31289842254943,2023-10-23,Usa,inactive,
215,Grace Lee,customer215@example.com,555-0102,686.3520178810265,2023-02-18,UK,Active,
263,Diana Prince,customer263@example.com,,358.02475952287665,2023-04-30,,,65.0
63,Jane Doe,customer63@example.com,,828.5308395309876,2023-12-10,Usa,Active,58.0
131,Alice Williams,customer131@example.com,555-0101,432.5210162833819,2023-08-03,Usa,Inactive,70.0
329,John Smith,customer329@example.com,555.0105,10.235148340125734,2023-02-10,Usa,Active,48.0
61,Alice Williams,customer61@example.com,,719.0172839856226,2023-05-07,Canada,,56.0
18,Frank Miller,customer18@example.com,(555) 0103,716.6446303067727,2023-02-28,UK,inactive,39.0
195,Diana Prince,customer195@example.com,,862.4573397749743,2023-01-19,Usa,Active,46.0
127,Alice Williams,customer127@example.com,(555) 0103,192.61824270466752,2023-10-08,Usa,Pending,71.0
468,Jane Doe,customer468@example.com,,174.71381106294962,2023-11-24,UK,Pending,42.0
